date,open,high,low,close,volume,p_change,v_change
1950-01-04,16.85,16.85,16.85,16.85,1890000,0.011404562,0.5
1950-01-05,16.93,16.93,16.93,16.93,2550000,0.004747774,0.349206349
1950-01-06,16.98,16.98,16.98,16.98,2010000,0.002953337,-0.211764706
1950-01-09,17.08,17.08,17.08,17.08,2520000,0.005889282,0.253731343
1950-01-10,17.030001,17.030001,17.030001,17.030001,2160000,-0.002927342,-0.142857143
1950-01-11,17.09,17.09,17.09,17.09,2630000,0.003523135,0.217592593
1950-01-12,16.76,16.76,16.76,16.76,2970000,-0.019309538,0.129277567
1950-01-13,16.67,16.67,16.67,16.67,3330000,-0.005369928,0.121212121
1950-01-16,16.719999,16.719999,16.719999,16.719999,1460000,0.00299934,-0.561561562
1950-01-17,16.860001,16.860001,16.860001,16.860001,1790000,0.008373326,0.226027397
1950-01-18,16.85,16.85,16.85,16.85,1570000,-0.000593179,-0.122905028
1950-01-19,16.870001,16.870001,16.870001,16.870001,1170000,0.001187003,-0.25477707
1950-01-20,16.9,16.9,16.9,16.9,1440000,0.001778245,0.230769231
1950-01-23,16.92,16.92,16.92,16.92,1340000,0.001183432,-0.069444444
1950-01-24,16.860001,16.860001,16.860001,16.860001,1250000,-0.00354604,-0.067164179
1950-01-25,16.74,16.74,16.74,16.74,1700000,-0.007117497,0.36
1950-01-26,16.73,16.73,16.73,16.73,1150000,-0.000597372,-0.323529412
1950-01-27,16.82,16.82,16.82,16.82,1250000,0.005379558,0.086956522
1950-01-30,17.02,17.02,17.02,17.02,1640000,0.011890606,0.312
1950-01-31,17.049999,17.049999,17.049999,17.049999,1690000,0.001762573,0.030487805
1950-02-01,17.049999,17.049999,17.049999,17.049999,1810000,0,0.071005917
1950-02-02,17.23,17.23,17.23,17.23,2040000,0.010557244,0.127071823
1950-02-03,17.290001,17.290001,17.290001,17.290001,2210000,0.003482356,0.083333333
1950-02-06,17.32,17.32,17.32,17.32,1490000,0.001735049,-0.325791855
1950-02-07,17.23,17.23,17.23,17.23,1360000,-0.005196305,-0.087248322
1950-02-08,17.209999,17.209999,17.209999,17.209999,1470000,-0.001160824,0.080882353
1950-02-09,17.280001,17.280001,17.280001,17.280001,1810000,0.004067519,0.231292517
1950-02-10,17.24,17.24,17.24,17.24,1790000,-0.002314873,-0.011049724
1950-02-14,17.059999,17.059999,17.059999,17.059999,2210000,-0.010440893,0.234636872
1950-02-15,17.059999,17.059999,17.059999,17.059999,1730000,0,-0.21719457
1950-02-16,16.99,16.99,16.99,16.99,1920000,-0.004103107,0.10982659
1950-02-17,17.15,17.15,17.15,17.15,1940000,0.009417304,0.010416667
1950-02-20,17.200001,17.200001,17.200001,17.200001,1420000,0.00291551,-0.268041237
1950-02-21,17.17,17.17,17.17,17.17,1260000,-0.001744244,-0.112676056
1950-02-23,17.209999,17.209999,17.209999,17.209999,1310000,0.002329586,0.03968254
1950-02-24,17.280001,17.280001,17.280001,17.280001,1710000,0.004067519,0.305343511
1950-02-27,17.280001,17.280001,17.280001,17.280001,1410000,0,-0.175438596
1950-02-28,17.219999,17.219999,17.219999,17.219999,1310000,-0.003472338,-0.070921986
1950-03-01,17.24,17.24,17.24,17.24,1410000,0.001161498,0.076335878
1950-03-02,17.23,17.23,17.23,17.23,1340000,-0.000580046,-0.04964539
1950-03-03,17.290001,17.290001,17.290001,17.290001,1520000,0.003482356,0.134328358
1950-03-06,17.32,17.32,17.32,17.32,1470000,0.001735049,-0.032894737
1950-03-07,17.200001,17.200001,17.200001,17.200001,1590000,-0.006928349,0.081632653
1950-03-08,17.190001,17.190001,17.190001,17.190001,1360000,-0.000581395,-0.144654088
1950-03-09,17.07,17.07,17.07,17.07,1330000,-0.006980861,-0.022058824
1950-03-10,17.09,17.09,17.09,17.09,1260000,0.001171646,-0.052631579
1950-03-13,17.120001,17.120001,17.120001,17.120001,1060000,0.001755471,-0.158730159
1950-03-14,17.25,17.25,17.25,17.25,1140000,0.007593399,0.075471698
1950-03-15,17.450001,17.450001,17.450001,17.450001,1830000,0.011594261,0.605263158
1950-03-16,17.49,17.49,17.49,17.49,2060000,0.002292206,0.12568306
1950-03-17,17.450001,17.450001,17.450001,17.450001,1600000,-0.002286964,-0.223300971
1950-03-20,17.440001,17.440001,17.440001,17.440001,1430000,-0.000573066,-0.10625
1950-03-21,17.450001,17.450001,17.450001,17.450001,1400000,0.000573394,-0.020979021
1950-03-22,17.549999,17.549999,17.549999,17.549999,2010000,0.005730544,0.435714286
1950-03-23,17.559999,17.559999,17.559999,17.559999,2020000,0.000569801,0.004975124
1950-03-24,17.559999,17.559999,17.559999,17.559999,1570000,0,-0.222772277
1950-03-27,17.459999,17.459999,17.459999,17.459999,1930000,-0.005694761,0.229299363
1950-03-28,17.530001,17.530001,17.530001,17.530001,1780000,0.004009279,-0.077720207
